NUM,OUT_DM,RATIO_6H_srmx,RATIO_12H_srmx,RATIO_24H_srmx,RATIO_48H_srmx,newpeople_srmx,Total_people1_srmx,Total_people2_srmx,Total_people3_srmx,Total_edwin_srmx,Total_people_srmx
758,2021-08-28 02:55:01.003,0.43216921951971238,0.37898013836389355,0.15375102023717269,1.0018173412778827E-2,5.9595048891879321,4.3804264625672236,13.374064299435084,18.692901318812002,9.5344226193028805E-2,39.051737175257969
759,2021-08-28 03:55:01.050,0.47684209959048202,0.40624988386414618,0.15941747868447162,1.1158622310042624E-2,5.6575607657837317,4.3596621904448556,13.362120506778037,18.145850344023458,6.8521666438166567E-2,34.381886771964318
760,2021-08-28 04:55:01.027,0.52252844739653526,0.44341288644590227,0.16403345627418792,1.2022187344234365E-2,5.5691686130322662,4.5407486002130586,12.555945232289151,17.337403146267203,0.0689335757751698,32.871567590580845
761,2021-08-28 05:55:01.073,0.55754970759287137,0.46539291926403337,0.16836479261894469,0.01279648506822457,5.487955083693504,4.7548427014517829,13.640034330362989,18.555146184710509,6.0769801638996188E-2,32.135309826583637
762,2021-08-28 06:55:01.050,0.55011362169407629,0.4789314661774835,0.1671257523814822,1.2564767917745828E-2,5.6165755243529922,4.6175293395200185,13.837637472521177,18.461076540052503,5.8418304193751477E-2,32.510458626658419
763,2021-08-28 07:55:01.190,0.57491491521254245,0.49441197093731348,0.16993767065449544,1.3216835853530761E-2,5.520854829123417,4.5725555765416184,14.244562202160749,17.834400073392601,0.05696720943876131,33.209449221718131
764,2021-08-28 08:55:01.103,0.6032513130611511,0.49117771326486104,0.17320957630511463,1.3947730309432917E-2,5.4963646815095375,5.0537556234778496,15.070669044160782,20.049693377971074,0.07178839313258864,36.77901928473068
765,2021-08-28 09:55:01.257,0.58451683110825958,0.47375792939429617,0.17197181462045161,1.3633949611108127E-2,5.5796295071985424,5.3233659460897931,16.341881826680368,24.508733461432833,5.3172742527370497E-2,36.417225258790168
766,2021-08-28 10:55:00.297,0.56666256435364637,0.44972373421149614,0.17051453111404169,1.3323380420471962E-2,5.7444377317574906,5.8701481335874846,18.589673324561726,32.093421865065878,7.6214755865049333E-2,43.241702337457376
767,2021-08-28 11:55:00.310,0.55398106564031335,0.41883284179940422,0.1696918464621372,1.2962068713823584E-2,5.7506455708806241,6.1763481440082026,21.036840212823584,34.531229100577406,7.1804595096729998E-2,45.658589407679315
